no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_income_ratio
2,1,0,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,3.1145833333333335
0,0,1,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,2.975609756097561
3,1,0,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,3.2637362637362637
3,1,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,3.7439024390243905
5,0,1,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,2.4693877551020407
0,1,1,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,2.8125
5,1,0,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,3.793103448275862
2,1,1,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,2.6315789473684212
0,1,1,800000,2200000,20,782,1300000,800000,2800000,600000,1,2.75
5,0,0,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,3.909090909090909
4,1,1,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,3.8620689655172415
2,0,1,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,3.388059701492537
3,0,1,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,2.32
2,1,1,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,3.4615384615384617
1,0,0,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,3.8947368421052633
5,0,0,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,2.276595744680851
2,1,1,500000,1600000,4,663,1300000,100000,1300000,700000,1,3.2
4,0,1,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,3.2413793103448274
2,1,0,2700000,10300000,10,736,1000000,0,6200000,3300000,1,3.814814814814815
5,1,0,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,2.3174603174603177
2,1,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,3.88
4,1,0,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,2.413793103448276
4,1,1,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,3.953846153846154
0,0,1,500000,1400000,2,551,900000,600000,1100000,300000,1,2.8
0,0,0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,2.0
5,0,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,3.064516129032258
4,1,0,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,3.426829268292683
4,0,1,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,2.3333333333333335
5,0,1,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,3.4285714285714284
3,0,1,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,3.5
2,0,0,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,2.5816326530612246
2,1,0,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,2.1052631578947367
1,0,1,800000,1600000,10,436,700000,200000,2200000,1000000,0,2.0
5,0,1,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,2.619047619047619
3,1,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,2.4285714285714284
2,1,1,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,2.0
3,0,0,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,3.875
5,1,1,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,3.4
5,1,0,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,2.138888888888889
3,0,1,1500000,5100000,6,352,100000,200000,5600000,900000,0,3.4
1,1,0,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,2.3205128205128207
2,0,0,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,2.7362637362637363
3,1,0,1400000,3400000,6,540,200000,1500000,3900000,800000,0,2.4285714285714284
2,1,1,800000,2300000,12,342,2200000,1300000,1800000,800000,0,2.875
